id,bishop_config,num_entries,bytes,num_win_pos,num_draw_pos,num_loss_pos,num_win_ix,num_draw_ix,num_loss_ix,num_broken_ix,fen,dtm,line
KPKBBB,B00v21,2939087360,841158064,116361454,716673788,3645629152,58180727,358336894,1822814576,0,8/4P3/8/4b1b1/8/7b/5K2/3k4 w - - ,195,e7e8q g5h4 f2e3 e5g3 e8a4 d1c1 e3e2 h3f5 a4a1 c1c2 a1a2 c2c1 a2a4 f5c2 a4a1 c2b1 a1a3 c1c2 a3c5 c2b3 c5b5 b3c2 b5c4 c2b2 c4b4 b2c2 b4d2 c2b3 e2d1 g3e1 d2d5 b3c3 d5c6 c3b3 c6b7 e1b4 d1c1 b1d3 b7d5 b3c3 d5e5 c3b3 e5e3 b3c3 e3d2 c3c4 d2f4 c4d5 f4b4 h4g5 c1b2 g5f6 b2b3 f6d4 b4d2 d3f5 d2f4 f5d3 b3b4 d3e4 f4g5 d4e5 g5g8 d5d6 g8c4 e4f5 c4b5 d6e6 b5c6 e6f7 c6h6 e5f6 b4c5 f7e6 h6h1 f6e7 c5c6 e7f8 h1e1 e6f7 c6d5 f8g7 e1e2 f7f6 e2e8 f6g5 e8g8 g5g6 d5c6 g6f6 c6d6 f5g4 g8d8 f6g6 d8e8 g6g5 e8e3 g5g6 e3g1 g6f5 g1g3 g7f6 d6d5 g4h5 g3f2 f5g5 f2e3 g5f5 e3e6 f5g5 d5e4 h5g6 e4e3 f6g7 e6d6 g6f5 e3f3 f5g4 f3g3 g4f5 d6d2 g5g6 d2d5 g6g5 d5g8 g5f6 g3h4 f5e6 g8b8 f6e7 b8b4 e7f7 b4b7 f7g6 b7b1 g6f7 b1h7 f7f6 h7e4 g7f8 e4f3 f6g7 h4h5 e6f7 h5g5 f8e7 g5f4 e7f6 f3b7 g7g8 f4f5 f6h8 b7h1 g8g7 h1a8 f7g6 f5g5 g6f7 a8d8 f7a2 d8d4 g7g8 d4g4 a2f7 g5h6 g8f8 g4b4 f8e8 b4b8 e8d7 b8h8 f7d5 h8f6 d5c6 h6g5 d7c7 g5f5 c7b6 f5e6 b6b5 e6d6 c6e8 d6d5 e8h5 f6b2 b5a6 b2b4 h5f3 d5d6 f3e2 d6c6 e2f3 c6c7 f3d1 b4b6 
KBBBKP,B30v00,2730818160,487764608,82522,1013108916,7081122,41261,506554458,3540561,247606678,7k/7p/7B/6B1/2K4B/8/8/8 w - - ,13,c4d5 h8g8 d5e6 g8h8 h4e1 h8g8 e1d2 g8h8 d2c3 h8g8 e6f6 g8h8 f6f7 
KBBBKP,B21v00,2730818160,487764608,2900975848,17859084,100916,1450487924,8929542,50458,513607278,8/8/2B5/8/8/8/1Bkp4/B3K3 w - - ,147,e1f2 d2d1n f2e1 d1b2 c6e4 c2b3 e4b1 b3c3 e1e2 c3b3 e2d2 b2c4 d2c1 c4d6 a1b2 d6c4 b2d4 c4a5 d4g7 a5c4 b1e4 c4a5 e4f3 b3c4 c1c2 c4c5 c2d3 a5c6 g7f8 c5b6 f8d6 b6b5 d3e4 b5a6 d6h2 a6b6 e4d5 c6a5 h2g3 a5b7 f3e4 b7a5 g3f2 b6c7 d5e6 a5b7 e6e7 b7a5 f2g3 c7b6 e7d7 b6c5 g3f2 c5c4 e4g6 a5b3 g6f7 c4c3 f2e1 c3c2 d7d6 b3d2 f7g6 c2d1 e1f2 d1e2 f2c5 e2f3 d6e5 d2c4 e5d4 c4e3 g6e4 f3e2 c5b6 e2d2 e4g6 e3c2 d4d5 c2e3 d5e4 e3d1 e4d4 d1e3 b6a5 d2e2 d4e4 e3c2 g6h5 e2f2 e4f4 f2f1 a5b6 f1e1 f4e4 e1d2 b6a5 d2c1 a5c3 c2a3 e4d3 a3b1 c3g7 b1a3 h5e8 a3b1 e8a4 b1a3 d3c3 a3b1 c3b3 c1d1 b3a2 d1e2 a2b1 e2d3 a4b3 d3e4 b1c2 e4f5 c2d3 f5g6 g7e5 g6f5 e5d6 f5g6 d3e4 g6g5 d6e7 g5g4 b3d1 g4g3 e4e3 g3g2 d1e2 g2g1 e3f3 g1h2 e2f1 h2g1 f3e2 g1h2 e2f2 h2h1 f1g2 h1h2 e7d6 
KBBNPK,B20v00,7961623740,1571441820,6209812422,75146,0,3104906211,37573,0,828150270,4k2K/4B3/2N1P3/8/8/B7/8/8 w - - ,63,c6b4 e8e7 a3b2 e7d6 h8g7 d6e6 g7g6 e6d6 b4d3 d6e7 g6f5 e7d6 d3f4 d6c5 f5e5 c5c6 f4e6 c6b5 e5d6 b5b6 e6c7 b6b7 b2d4 b7c8 d6c6 c8b8 d4g1 b8c8 g1a7 c8d8 c7d5 d8e8 a7d4 e8d8 d4e5 d8c8 d5b6 c8d8 e5f6 d8e8 c6d6 e8f7 b6d5 f7f8 d6e6 f8e8 d5e3 e8f8 e3f5 f8e8 f6h4 e8f8 h4e7 f8g8 e6f6 g8h7 f6f7 h7h8 f7g6 h8g8 f5h6 g8h8 e7f6 
KBBNPK,B11v00,7961623740,1571441820,6067251036,770,0,3033625518,385,0,994903783,B7/1N6/8/8/k1K5/B7/P7/8 w - - ,45,b7a5 a4a3 a5b3 a3a2 a8e4 a2a3 c4c3 a3a2 e4c2 a2a3 c2b1 a3a4 b3d4 a4a5 b1e4 a5a4 e4d5 a4a3 d4c2 a3a4 d5c6 a4a5 c3c4 a5b6 c2d4 b6c7 c4c5 c7d8 c5d6 d8c8 d4b3 c8d8 b3c5 d8c8 c6d7 c8b8 d6c6 b8a7 c6c7 a7a8 c7b6 a8b8 c5a6 b8a8 d7c6 
KQBBPK,B20v00,7765293120,703559635,4499263230,470,0,2249631615,235,0,1586471455,8/6Q1/8/8/7B/6P1/7B/1K5k w - - ,13,g3g4 h1h2 g4g5 h2g2 g7c3 g2g1 c3b2 g1h1 g5g6 h1g1 h4g3 g1f1 b2f2 
KQBBPK,B11v00,7765293120,703559635,4388632816,0,0,2194316408,0,0,1734873407,8/2K5/8/8/8/8/k1PB4/2QB4 w - - ,19,c1a1 a2a1 c2c4 a1b1 c4c5 b1a1 c5c6 a1b1 c7b6 b1a1 c6c7 a1b1 c7c8q b1a1 d1c2 a1b2 c8c4 b2a1 d2c3 
KRBBPK,B20v00,8180453520,958342717,5446747274,18580,0,2723373637,9290,0,1318003524,8/8/8/B7/RB6/Pk3K2/8/8 w - - ,41,b4c5 b3a4 f3e4 a4b5 e4d5 b5a5 d5c6 a5a6 c6c7 a6b5 c5b4 b5a6 c7b8 a6b6 a3a4 b6c6 a4a5 c6b5 b4e1 b5a6 b8a8 a6b5 a8b7 b5a4 a5a6 a4a3 a6a7 a3b2 a7a8q b2c2 a8a2 c2d3 a2g2 d3d4 g2e2 d4d5 e1c3 d5d6 e2e8 d6c5 e8c6 
KRBBPK,B11v00,8180453520,958342717,5320832866,292,0,2660416433,146,0,1478650490,8/6K1/8/8/8/BP6/BR6/k7 w - - ,25,a3c5 a1b2 b3b4 b2a2 b4b5 a2b2 b5b6 b2c3 b6b7 c3c4 c5g1 c4b3 b7b8q b3c4 b8g3 c4d5 g3c3 d5e6 c3d3 e6e7 g1h2 e7e8 g7f6 e8f8 d3d8 
KBBPKN,B20v00,8243187360,2870261878,5669429322,1070940052,16400,2834714661,535470026,8200,702283706,8/1n6/3P3B/8/5K2/8/k7/4B3 w - - ,209,d6d7 b7c5 d7d8n c5d3 f4e3 d3e1 e3d2 e1f3 d2c3 f3e5 h6c1 e5g4 d8c6 a2b1 c1f4 b1a2 c6b4 a2a3 b4d3 g4f6 f4d6 a3a4 c3c4 a4a5 d6c7 a5a6 d3c5 a6a7 c4b5 f6d5 c7a5 d5e7 a5d8 e7d5 c5e4 a7a8 e4d6 a8b8 b5c5 d5f4 c5c6 f4d3 d8f6 b8a7 c6b5 d3e1 f6d4 a7b8 b5b6 e1d3 d4a1 d3f4 a1e5 f4g6 e5h2 g6e7 d6f5 b8a8 f5d4 e7f5 d4b5 f5d4 b5c7 a8b8 c7e6 b8a8 e6c5 d4c2 c5a4 c2e3 b6a6 e3d5 h2d6 d5c7 a6b6 c7d5 b6c6 d5e3 d6c5 e3f5 c6c7 f5h4 a4c3 h4g2 c7c6 g2e1 c3d5 a8b8 d5e7 e1f3 c5e3 f3e5 c6d5 e5d7 d5d6 d7f6 e3d4 f6h7 d6c6 h7g5 c6b6 b8a8 d4e5 g5f3 e5f4 f3e1 e7d5 e1g2 f4g5 g2e1 g5h4 e1d3 h4g3 d3b4 d5c7 a8b8 b6c5 b4c2 c7b5 b8b7 b5d6 b7a6 d6c4 a6b7 g3f4 c2e1 c4e5 e1g2 f4g5 b7c8 e5d3 c8b7 c5d4 b7a6 d3b4 a6a5 b4c2 a5a4 d4d3 a4b5 d3e2 b5a4 c2d4 a4b4 d4f3 b4b3 e2f1 b3c2 f3e5 c2c3 f1g2 c3d4 e5d7 d4c3 d7b6 c3b4 g5e3 b4b5 g2f3 b5c6 f3e4 c6d6 e3d4 d6c6 e4e5 c6c7 e5d5 c7b7 d5d6 b7a6 d6c6 a6a7 d4e5 a7a6 e5b8 a6a5 b6d5 a5a4 b8e5 a4b3 d5e3 b3b4 c6b6 b4a4 e5c3 a4b3 c3e1 b3a4 e1d2 a4b3 b6a5 b3a3 d2e1 a3b2 a5a4 b2a2 e3d1 a2a1 a4b3 a1b1 e1d2 b1a1 d2c1 a1b1 c1a3 b1a1 a3b2 a1b1 d1c3 
